-3.141593 | 0.0919997 |  -  | 0.1013212
-2.988344 | 0.1007029 |  -  | 0.1119796
-2.835096 | 0.1106468 |  -  | 0.1244126
-2.681847 | 0.1220658 |  -  | 0.1390375
-2.528599 | 0.1352482 |  -  | 0.1564012
-2.375351 | 0.1505505 |  -  | 0.1772330
-2.222102 | 0.1684143 |  -  | 0.2025219
-2.068854 | 0.1893884 |  -  | 0.2336364
-1.915605 | 0.2141537 |  -  | 0.2725135
-1.762357 | 0.2435519 |  -  | 0.3219677
-1.609108 | 0.2786113 |  -  | 0.3862152
-1.455860 | 0.3205613 |  -  | 0.4718031
-1.302612 | 0.3708103 | 0.3061966 | 0.5893457
-1.149363 | 0.4308421 | 0.4310262 | 0.7569818
-0.996115 | 0.5019464 | 0.4866990 | 1.0078160
-0.842866 | 0.5846505 | 0.4996003 | 1.4076108
-0.689618 | 0.6777029 | 0.4775337 | 2.1027273
-0.536369 | 0.7765831 | 0.4229158 | 3.4759369
-0.383121 | 0.8720055 | 0.3362001 | 6.8128364
-0.229873 | 0.9498106 | 0.2185845 | 18.9245455
-0.076624 | 0.9941630 | 0.0761782 | 170.3209097
0.076624 | 0.9941630 | 0.0761782 | 170.3209097
0.229873 | 0.9498106 | 0.2185845 | 18.9245455
0.383121 | 0.8720055 | 0.3362001 | 6.8128364
0.536369 | 0.7765831 | 0.4229158 | 3.4759369
0.689618 | 0.6777029 | 0.4775337 | 2.1027273
0.842866 | 0.5846505 | 0.4996003 | 1.4076108
0.996115 | 0.5019464 | 0.4866990 | 1.0078160
1.149363 | 0.4308421 | 0.4310262 | 0.7569818
1.302612 | 0.3708103 | 0.3061966 | 0.5893457
1.455860 | 0.3205613 |  -  | 0.4718031
1.609108 | 0.2786113 |  -  | 0.3862152
1.762357 | 0.2435519 |  -  | 0.3219677
1.915605 | 0.2141537 |  -  | 0.2725135
2.068854 | 0.1893884 |  -  | 0.2336364
2.222102 | 0.1684143 |  -  | 0.2025219
2.375351 | 0.1505505 |  -  | 0.1772330
2.528599 | 0.1352482 |  -  | 0.1564012
2.681847 | 0.1220658 |  -  | 0.1390375
2.835096 | 0.1106468 |  -  | 0.1244126
2.988344 | 0.1007029 |  -  | 0.1119796
3.141593 | 0.0919997 |  -  | 0.1013212
